rule_id	domain	rule_summary	owner	fixture_test	status	compatibility	notes
MEM-001	memory	Rc<RefCell> model	native/src/value.rs	docs/MEMORY_MODEL_EN.md	implemented	normative	
MEM-002	memory	Checked borrow	native/src/value.rs	native/tests/core.rs#conflicting_object_borrows	implemented	normative	
MEM-003	memory	clear_object_fields	native/src/value.rs	native/tests/core.rs#cyclic_object_graph	implemented	normative	
MEM-004	memory	memory_stats	native/src/value.rs	native/tests/core.rs	implemented	normative	
MEM-005	memory	Alloc/dealloc counters	native/src/value.rs	native/tests/core.rs	implemented	normative	
MEM-006	memory	Cycle-safe equality	native/src/value.rs	native/tests/core.rs#value_equality_is_cycle_safe	implemented	normative	
MEM-007	memory	Logical budget	native/src/runtime_state.rs	native/tests/core.rs	implemented	normative	
MEM-008	memory	ObjectStore isolation	native/src/runtime_state.rs	native/tests/core.rs	implemented	normative	
MEM-009	memory	Validation counters	native/src/runtime_state.rs	native/tests/core.rs	implemented	normative	
MEM-010	memory	Text limit 8MiB	native/src/value.rs	native/tests/core.rs	implemented	normative	
MEM-011	memory	Collection limit	native/src/value.rs	native/tests/core.rs	implemented	normative	
MEM-012	memory	Node limit	native/src/value.rs	native/tests/core.rs	implemented	normative	
MEM-013	memory	Weak references			not-implemented		Unsupported
MEM-014	memory	Tracing GC			not-implemented		Not implemented
MEM-015	memory	Output rollback	native/src/runtime_state.rs	native/tests/core.rs	implemented	normative	
ASYNC-001	async	Deterministic executor	native/src/async_runtime.rs	native/tests/core.rs	implemented	normative	
ASYNC-002	async	ScheduledFuture	native/src/async_runtime.rs	native/tests/core.rs	implemented	normative	
ASYNC-003	async	Task states	native/src/async_runtime.rs	native/tests/core.rs	implemented	normative	
ASYNC-004	async	One-time budget release	native/src/async_runtime.rs	native/tests/core.rs	implemented	normative	
ASYNC-005	async	Cooperative cancellation	native/src/async_runtime.rs	native/tests/core.rs	implemented	normative	
ASYNC-006	async	Poll-budget timeout	native/src/async_runtime.rs	native/tests/core.rs	implemented	normative	
ASYNC-007	async	async_capabilities	native/src/evaluator.rs	native/tests/core.rs	implemented	normative	
ASYNC-008	async	UnknownTask diagnostic	native/src/async_runtime.rs	native/tests/core.rs	implemented	normative	
ASYNC-009	async	Production I/O boundary	native/src/async_runtime.rs	docs/ASYNC_BOUNDARIES_EN.md	implemented	normative	
ASYNC-010	async	Scheduler reset	native/src/async_runtime.rs	native/tests/core.rs	implemented	normative	
ASYNC-011	async	Cross-platform matrix	native/src/async_runtime.rs	scripts/test_p005c_async_matrix.sh	implemented	normative	
ASYNC-012	async	Threaded rejection	native/src/async_runtime.rs	native/tests/core.rs	implemented	normative	
ASYNC-013	async	Full reactor			not-implemented		Out of scope
REG-001	registry	Index parsing	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-002	registry	Signed index verification	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-003	registry	Mutation rejection	native/src/registry.rs	native/tests/core.rs#security_property_signed_index	implemented	normative	
REG-004	registry	Trusted registry	native/src/registry.rs	docs/REGISTRY_AUTH_EN.md	implemented	normative	
REG-005	registry	Credential scoping	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-006	registry	Auth diagnostics	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-007	registry	Chunked response	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-008	registry	Truncated rejection	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-009	registry	Oversized rejection	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-010	registry	slow-peer timeout	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-011	registry	Yanked handling	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-012	registry	Cache policy	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REG-013	registry	Checksum mismatch	native/src/registry.rs	native/tests/core.rs	implemented	normative	
REL-001	release	Cargo-authoritative version	native/Cargo.toml	scripts/validate_release_version.sh	implemented	normative	
REL-002	release	Version consistency	scripts/validate_release_version.sh	scripts/test_validate_release_version.sh	implemented	normative	
REL-003	release	Cross-platform workflow	.github/workflows/release.yml	GitHub Actions	implemented	normative	
REL-004	release	SHA-256 checksums	.github/workflows/release.yml	GitHub Actions	implemented	normative	
REL-005	release	Preflight gate	scripts/release_preflight.sh	CI artifact	implemented	normative	
REL-006	release	Signed assets	.github/workflows/release.yml	GitHub Actions	implemented	normative	
REL-007	release	Bilingual release notes	docs/RELEASE_<VERSION>_EN.md	scripts/validate_release_version.sh	implemented	normative	
